Gender,"On a scale of 1-10, how much do you feel appreciated for your work?",How would you rate the relationships between colleagues from 1 to 10?,How would you rate your work-life balance from 1 to 10?,How would you rate your relationship with your superiors from 1 to 10?,"In your opinion, how stable to you experience the companyâ€™s financial stability from 1 to 10?",How would you rate the learning and career development opportunities in your job from 1 to 10?,How do you experience the Job security from 1 to 10?,How satisfied are you with your salary from 1 to 10?,How interested are you in the contents of your job from 1 to 10?,How much do you agree with the company values from 1 to 10?
Male,6,6,5,5,9,2,7,6,6,4
Male,7,7,6,9,9,3,6,5,4,4
Male,5,7,5,6,10,2,6,3,6,5
Male,4,7,5,1,9,2,7,6,5,5
Female,4,5,5,4,10,2,7,3,5,3
Female,3,5,6,4,8,1,7,2,5,6
Female,3,5,5,6,8,1,6,0,5,5
Female,3,5,5,1,10,2,8,4,5,6
Female,5,5,5,5,9,1,7,6,6,5
Female,5,5,5,6,8,2,7,5,4,6
Female,2,4,6,0,8,2,6,4,5,5
Male,7,6,4,7,10,2,8,7,5,5
Female,1,5,5,0,8,2,6,2,5,5
Female,0,6,5,1,9,2,7,0,5,5
Female,2,5,5,4,8,2,6,1,5,5
Female,1,4,5,1,8,2,7,1,5,4
Male,3,10,6,0,8,2,7,5,5,5
Female,1,5,5,0,8,2,7,1,6,5
Male,4,6,5,0,10,2,7,7,5,5
Male,5,6,5,3,10,2,7,6,4,4
Female,5,5,5,6,10,2,8,5,4,6
Female,1,6,5,3,9,1,7,0,4,5
Female,2,4,5,2,9,2,7,2,4,5
Male,3,6,6,1,10,1,6,6,5,6
Female,4,5,6,4,10,2,8,5,6,6
Female,5,5,5,7,9,2,8,3,5,4
Female,5,5,5,5,9,2,6,4,6,6
Female,3,5,5,1,8,2,7,6,4,5
Female,1,5,4,0,9,3,7,2,5,4
Female,6,4,5,5,10,2,6,7,5,5
Male,6,7,6,7,9,2,7,5,5,5
Male,6,7,5,5,10,2,8,7,5,5
Male,5,7,5,7,8,1,8,3,5,5
Female,4,5,5,5,9,2,8,3,4,4
Female,5,5,5,5,10,3,8,5,5,5
Male,2,8,5,0,9,1,7,5,5,6
Female,4,5,5,5,10,2,7,3,5,4
Female,3,6,5,4,8,2,7,1,5,5
Female,5,5,5,5,10,3,7,6,5,5
Male,4,7,5,6,8,3,8,1,5,5
Female,2,5,5,0,9,2,7,4,5,5
Female,3,5,4,4,8,1,7,3,5,5
Female,1,5,5,0,8,2,7,2,6,5
Female,3,5,5,2,9,2,6,4,4,5
Female,6,5,5,6,9,2,7,6,5,5
Female,3,5,5,1,8,2,7,5,5,5
Male,6,5,4,9,10,3,7,2,5,5
Female,1,4,5,2,10,3,7,0,5,5
Female,4,5,4,7,9,2,7,2,5,5
Female,2,5,4,1,9,2,7,3,6,5
Female,5,5,5,4,8,3,7,5,5,5
Male,1,7,5,0,10,2,7,3,5,5
Female,3,5,5,4,8,2,8,1,5,5
Male,3,7,6,1,10,2,7,5,4,5
Female,1,6,5,0,10,3,7,2,5,6
Male,4,10,6,3,8,2,7,6,4,4
Female,1,5,4,0,9,2,7,3,6,6
Male,5,5,5,9,9,2,7,2,5,5
Female,4,4,5,6,10,2,7,2,5,5
Male,4,4,5,7,8,2,7,1,6,4
Female,4,6,5,7,10,2,7,0,4,5
Male,6,8,4,8,9,2,7,4,5,5
Female,0,6,5,0,8,3,7,0,5,5
Female,2,5,5,5,10,2,7,0,5,4
Female,1,5,6,3,9,2,7,0,5,4
Female,2,5,5,0,9,2,7,4,4,5
Male,2,6,5,1,8,2,7,3,6,6
Female,4,5,5,6,10,1,7,2,6,5
Female,2,5,5,1,9,2,7,4,5,5
Female,4,5,5,7,9,2,7,2,5,5
Male,4,6,4,7,9,2,7,1,5,6
Male,7,6,5,8,10,2,6,5,5,5
Female,3,5,5,3,10,2,7,3,5,5
Male,4,6,5,5,9,3,7,3,6,5
Female,0,4,5,1,9,2,7,0,5,5
Female,2,5,5,3,8,2,7,0,6,5
Female,2,6,4,1,9,2,6,2,5,5
Female,3,5,6,5,9,2,8,1,5,5
Female,2,5,6,1,9,2,7,3,4,5
Male,4,7,5,2,8,2,7,5,5,5
Female,4,6,5,2,10,2,8,6,5,5
Female,3,5,4,1,8,2,8,5,4,5
Female,4,5,6,4,8,1,7,4,6,4
Female,4,5,5,6,8,1,6,2,6,5
Female,4,5,6,7,10,2,7,0,5,5
Female,5,5,5,6,9,2,8,4,5,5
Male,5,7,6,9,8,2,6,1,5,5
Female,5,5,5,10,8,2,7,1,4,5
Male,1,7,5,1,10,2,7,1,5,4
Male,2,7,5,3,8,2,7,2,5,6
Female,3,6,4,1,8,3,7,6,5,5
Female,4,5,6,3,9,2,7,5,5,5
Female,3,5,5,1,10,2,7,4,5,5
Male,3,7,4,6,10,2,7,1,5,5
Male,8,6,5,8,10,2,6,8,5,5
Male,7,8,4,7,8,2,7,6,4,6
Male,5,8,6,5,9,2,8,4,4,5
Male,7,8,5,7,8,2,8,7,5,5
Female,5,5,5,6,9,2,7,4,5,5
Male,4,6,5,3,10,2,7,5,5,5
Male,7,7,4,9,8,2,7,4,4,4
Female,3,4,5,4,9,2,7,1,5,4
Female,4,5,6,6,8,3,7,2,5,5
Female,1,5,4,0,9,3,7,2,6,5
Female,4,5,4,6,8,3,7,2,4,6
Female,4,5,5,8,10,3,7,0,6,5
Female,3,6,5,4,8,2,7,3,5,4
Female,6,5,5,9,8,2,7,3,5,6
Male,5,7,5,7,9,2,7,3,5,5
Female,2,5,5,4,9,2,7,0,5,5
Female,3,5,5,5,10,2,8,1,4,5
Female,2,6,5,0,9,1,7,4,5,5
Male,5,7,5,7,10,3,7,4,5,6
Female,3,5,5,5,8,2,7,0,6,5
Female,7,5,4,9,8,3,7,6,5,5
Male,4,6,5,6,8,2,7,3,5,4
Male,4,7,5,1,10,2,7,7,4,5
Female,5,5,6,7,10,2,6,3,6,5
Female,5,5,5,7,9,2,7,3,6,3
Female,3,5,5,1,9,2,7,6,5,5
Female,5,4,5,3,9,2,7,7,5,5
Female,3,5,4,4,8,2,7,2,5,5
Female,3,5,5,0,8,2,7,6,5,5
Male,3,7,4,1,8,2,7,5,4,5
Male,6,6,5,9,9,2,7,3,5,4
Female,3,5,6,4,10,2,7,2,5,6
Male,8,7,5,7,10,1,7,8,6,5
Male,3,9,5,1,9,3,7,5,5,5
Female,2,5,5,4,9,2,6,0,5,4
Female,4,6,5,5,8,1,7,2,5,5
Female,2,5,5,0,8,2,7,4,5,4
Female,4,5,5,6,9,3,7,2,6,5
Male,6,6,4,6,8,2,7,6,5,5
Male,1,7,5,1,9,1,7,1,5,5
Female,4,5,5,6,10,1,7,2,5,4
Female,3,5,7,4,8,2,6,2,6,5
Male,5,6,6,7,9,2,7,4,5,4
Female,3,5,5,5,10,3,7,0,5,5
Female,2,5,5,2,9,2,8,3,6,4
Female,2,5,6,1,9,1,6,3,5,5
Male,2,7,5,2,10,1,7,1,6,5
Female,2,6,5,1,9,2,8,3,5,5
Female,3,5,5,5,9,2,8,2,5,5
Male,6,5,5,7,8,2,7,5,6,5
Female,5,5,5,5,8,2,7,5,4,5
Female,2,4,5,0,10,2,8,4,5,5
Male,5,8,5,7,9,2,7,3,5,5
Female,4,5,5,2,10,2,7,7,5,5
Male,5,7,5,7,9,2,6,3,5,5
Female,2,5,4,5,8,2,7,0,5,6
Female,3,4,4,1,9,2,6,6,5,6
Female,3,5,5,5,10,2,7,0,5,5
Female,6,4,5,6,10,2,7,5,5,5
Female,1,5,5,1,10,2,7,1,6,6
Male,2,6,5,1,10,3,6,4,5,6
Female,3,4,6,2,10,2,7,5,4,5
Female,5,5,6,5,9,1,7,6,5,6
Female,2,5,5,4,8,2,7,0,5,5
Male,4,7,5,1,8,2,7,7,5,6
Male,5,8,4,7,8,2,8,2,5,5
Male,3,7,5,5,9,2,6,1,5,5
Female,4,5,5,6,9,2,8,3,5,5
Female,2,4,5,0,10,2,7,4,5,5
Female,4,6,5,4,9,2,7,3,5,5
Male,6,6,5,7,8,2,8,5,5,6
Female,2,5,4,2,10,2,7,2,5,5
Female,0,4,5,1,10,2,8,0,5,5
Female,5,5,4,3,8,2,7,7,6,5
Female,2,5,5,1,8,1,8,2,5,6
Female,3,5,5,5,9,2,6,2,5,5
Female,4,5,5,1,9,1,7,6,4,6
Female,1,5,5,0,8,2,7,2,5,5
Female,1,6,5,0,9,2,7,3,5,5
Male,1,6,5,0,10,2,7,2,6,5
Female,1,5,5,1,8,2,7,1,5,5
Female,4,5,5,6,9,2,7,2,5,4
Male,6,7,5,9,8,2,7,3,5,5
Male,2,9,5,1,10,3,6,3,5,5
Female,4,5,5,1,10,2,6,7,5,5
Female,2,5,5,3,9,3,6,2,4,5
Male,4,7,5,0,8,2,6,8,5,6
Female,5,4,4,5,8,2,7,4,5,5
Male,2,9,5,0,8,2,8,3,6,4
Male,6,7,5,5,10,1,7,7,4,5
Female,3,5,5,0,8,2,7,5,5,5
Male,4,7,5,5,10,1,7,2,5,5
Female,5,5,5,7,9,2,7,3,5,5
Male,3,9,5,0,10,2,7,7,5,4
Male,5,5,4,7,8,3,6,3,5,5
Female,4,5,6,7,9,3,8,2,5,6
Female,1,5,5,3,9,2,8,0,5,5
Male,5,7,5,5,8,1,7,5,4,5
Female,5,5,6,6,8,2,8,5,4,5
Female,4,5,4,5,10,2,7,2,5,5
Female,5,5,5,4,9,2,8,7,3,5
Male,8,8,5,9,9,2,7,7,5,6
Female,4,5,5,5,9,2,7,3,5,5
Female,2,5,5,4,9,2,6,0,5,5
Female,4,5,5,4,8,2,7,4,6,6
Female,2,5,4,3,9,2,8,0,5,6
Male,5,7,5,5,8,2,7,5,5,5
Male,6,7,5,4,9,2,7,7,5,5
Male,5,6,5,7,8,2,8,2,5,5
Female,4,5,5,9,8,3,7,0,5,4
Female,5,4,5,7,8,2,7,2,5,6
Female,1,5,5,3,8,2,7,0,5,6
Female,1,5,5,0,10,2,8,3,5,5
Male,7,5,5,8,10,2,7,5,5,5
Female,5,5,5,8,9,2,7,3,5,5
Female,1,6,5,1,9,2,8,0,5,5
Female,5,5,5,6,8,2,7,5,5,5
Female,5,5,5,10,10,2,7,0,5,5
Female,4,5,5,1,8,2,7,7,5,4
Male,3,7,5,0,10,2,6,5,5,4
Female,5,5,5,7,8,2,7,3,6,4
Female,2,5,4,0,8,2,7,5,5,5
Female,4,5,5,6,8,2,8,3,6,5
Female,3,6,5,4,8,3,6,2,5,4
Female,1,5,5,1,10,2,6,0,5,5
Female,4,5,5,6,10,1,6,2,5,6
Female,2,5,5,5,9,2,6,0,5,7
Female,0,5,5,0,8,2,7,0,5,5
Female,4,5,5,5,8,1,7,3,5,5
Female,2,5,5,1,10,3,7,2,4,5
Male,3,9,4,0,8,2,8,5,6,6
Female,4,5,5,6,8,2,7,2,5,6
Female,2,5,5,0,9,2,8,4,5,5
Female,4,5,6,7,8,2,7,2,5,5
Male,5,9,5,9,8,1,7,1,5,6
Male,4,7,5,1,9,2,6,6,5,5
Female,3,5,5,1,10,1,6,6,4,6
Female,6,5,6,8,9,2,8,4,4,5
Female,3,5,5,2,10,2,7,5,6,5
Male,1,6,5,0,9,2,7,3,5,5
Male,7,7,5,7,9,2,6,7,5,5
Female,4,4,4,4,8,3,7,5,5,5
Female,4,4,6,1,9,2,7,7,5,5
Female,4,4,5,6,10,2,8,2,5,5
Female,4,5,4,4,10,2,7,3,6,5
Female,2,5,5,1,8,3,7,4,6,5
Female,3,5,5,0,9,2,6,6,5,5
Female,3,6,5,4,9,3,7,2,4,5
Female,4,5,5,8,8,2,7,0,6,6
Male,6,6,5,9,10,2,6,3,5,5
Male,4,7,5,2,10,1,7,7,4,5
Female,4,5,5,1,8,2,7,7,5,5
Male,6,7,5,6,9,2,7,5,4,5
Female,0,5,5,0,10,2,8,0,5,6
Female,5,7,6,6,9,2,8,5,5,4
Female,3,5,4,6,10,3,8,0,4,4
Male,4,9,5,4,9,2,7,4,6,4
Female,3,5,6,5,8,3,6,0,5,6
Female,1,5,6,0,9,2,7,2,5,5
Female,4,5,5,5,8,1,7,3,5,5
Male,3,6,5,0,8,2,7,5,5,5
Female,1,5,5,0,9,1,7,2,5,4
Male,2,8,5,0,10,2,7,5,4,6
Female,1,5,5,1,10,3,7,0,6,6
Female,3,4,5,5,8,3,7,0,5,5
Female,3,5,5,6,9,2,8,0,6,5
Male,0,7,5,0,9,3,7,1,4,6
Female,5,5,5,5,9,1,6,6,6,5
Female,6,6,5,6,9,2,7,6,6,5
Male,3,8,6,4,9,2,7,1,4,5
Female,2,4,5,1,9,2,7,3,5,5
Female,5,5,5,5,10,2,7,5,6,5
Female,6,5,5,5,10,2,6,7,5,5
Female,1,4,5,1,9,2,7,2,5,5
Female,3,5,5,1,9,2,7,5,6,6
Female,0,6,5,0,9,2,7,0,5,6
Female,4,4,5,5,9,2,7,3,5,5
Female,5,5,4,9,8,1,7,2,5,5
Female,3,5,5,3,10,2,7,4,4,6
Male,5,5,5,5,10,2,7,5,5,5
Female,1,5,6,0,9,3,7,1,6,5
Female,3,5,5,7,10,3,6,0,6,5
Male,6,8,5,6,10,1,7,5,5,6
Male,7,6,5,8,8,1,7,6,5,5
Female,2,6,5,1,8,2,8,2,6,4
Female,8,5,5,9,9,3,7,7,4,5
Female,2,4,5,4,10,1,7,0,5,5
Male,7,6,5,7,8,2,7,8,4,5
Female,5,4,6,7,10,3,7,2,5,5
Male,2,9,5,0,8,2,7,4,5,6
Female,6,4,5,7,8,3,7,6,6,6
Female,5,5,5,7,9,2,7,3,5,4
Female,0,5,4,1,9,2,8,0,5,5
Male,4,7,5,5,9,2,7,3,5,6
Male,4,7,4,6,8,3,7,2,5,6
Female,2,5,5,0,8,2,6,4,5,5
Female,3,6,5,4,8,2,7,2,6,6
Female,3,6,6,2,8,2,6,4,5,5
Female,4,6,5,5,8,1,7,2,5,5
Male,4,8,5,7,10,3,7,1,6,5
Male,3,7,5,3,8,2,7,2,4,4
Female,2,5,5,1,9,2,6,2,4,5
Male,6,7,5,9,8,3,8,2,5,5
Male,3,7,5,4,10,2,8,1,5,4
Female,5,5,5,5,8,1,9,4,5,4
Female,4,5,5,4,10,2,8,4,4,5
Female,3,5,5,5,10,2,7,2,5,4
Male,6,5,5,5,10,2,7,6,5,4
Female,3,5,4,4,8,2,7,2,5,5
Male,5,8,5,6,10,2,8,5,5,5
Female,4,5,4,3,10,3,6,4,5,5
Male,4,7,5,1,8,3,6,6,5,5
Female,3,5,5,5,9,2,7,0,5,5
Female,4,5,5,5,9,3,7,2,5,5
Female,5,6,5,6,10,2,7,4,5,6
Female,1,5,5,1,10,1,6,1,4,5
Female,3,5,5,6,10,1,7,0,5,5
Female,6,5,5,7,8,2,7,5,5,6
Male,5,7,6,7,9,2,8,4,4,4
Male,3,7,5,4,10,3,7,1,5,5
Male,4,6,5,6,10,2,8,3,5,5
Male,3,4,5,0,9,2,7,5,5,5
Male,6,6,5,8,10,2,7,5,5,5
Female,3,5,5,6,9,2,7,1,5,6
Male,7,7,5,7,8,2,7,7,5,5
Female,2,5,5,0,8,2,8,5,5,5
Female,4,5,5,1,9,2,7,6,6,5
Male,3,7,5,3,8,1,7,2,5,6
Female,1,5,4,2,9,1,6,0,5,6
